"","Allograpta obliqua","Andrena candida","Andrena cressonii infasciata","Andrena knuthiana","Ashmeadiella bucconis denticulata","Bombus vosnesenskii","Ceratina acantha","Ceratina nanula","Ceriana tridens","Eristalinus aeneus","Eristalis tenax","Eupeodes fumipennis","Halictus ligatus","Halictus tripartitus","Helophilus latifrons","Hoplitis producta gracilis","Hylaeus bisinuatus","Hylaeus calvus","Hylaeus mesillae","Lasioglossum (Dialictus) brunneiiventre","Lasioglossum (Dialictus) diversopunctatum","Lasioglossum (Dialictus) incompletum","Lasioglossum (Dialictus) tegulare group","Megachile angelarum","Megachile apicalis","Megachile fidelis","Megachile gentilis","Megachile rotundata","Melissodes lupina","Melissodes stearnsi","Osmia gaudiosa","Palpada alhambra","Paragus haemorrhous","Platycheirus stegnus","Sphaerophoria pyrrhina","Sphaerophoria sulphuripes","Syritta flaviventris","Syritta pipiens","Syrphus opinator","Toxomerus marginatus"
"Aster chilensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Atriplex lentiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis",0,0,0,0,0,0,1,1,0,1,0,0,0,24,1,1,0,0,0,2,0,76,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,10
"Epilobium campestre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Eriogonum fasciculatum",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erodium cicutarium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grindelia camporum",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,13,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"Grindelia hirsutula",0,0,0,0,10,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,12,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Heteromeles arbutifolia",1,1,0,0,0,1,0,0,0,4,1,0,1,9,0,0,1,0,6,1,0,20,3,1,1,0,1,2,1,0,0,1,1,1,0,1,0,7,0,1
"Phacelia californica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picris echioides",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Portulaca oleracea",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus californica",0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"Rhamnus tomentella",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"Rosa californica",0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,2,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia sp.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Sambucus mexicana",0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
"Sonchus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
